Step,True_Temperature,Raw_Temperature,Error_Type,Filtered_Temperature,Fan_Before,Fan_After
1,25.34,,missing,,OFF,OFF
2,25.43,29.1,spike,29.1,ON,ON
3,25.7,25.7,normal,27.4,ON,ON
4,25.88,27.3,noise,27.37,ON,ON
5,26.18,26.18,normal,26.39,ON,ON
6,26.49,27.7,noise,27.06,ON,ON
7,26.5,25.75,noise,26.54,ON,ON
8,26.82,26.82,normal,26.76,ON,ON
9,26.95,27.05,noise,26.54,ON,ON
10,26.97,26.73,noise,26.87,ON,ON
11,26.97,26.97,normal,26.92,ON,ON
12,27.13,27.13,normal,26.94,ON,ON
13,27.31,28.57,noise,27.56,ON,ON
14,27.08,27.08,normal,27.59,ON,ON
15,27.3,30.83,spike,28.83,ON,ON
16,26.85,30.42,spike,29.44,ON,ON
17,26.71,26.71,normal,29.32,ON,ON
18,26.9,23.42,spike,26.85,OFF,ON
19,26.68,26.68,normal,25.6,ON,ON
20,26.51,26.51,normal,25.54,ON,ON
21,25.96,25.96,normal,26.38,ON,ON
22,25.92,,missing,26.23,ON,ON
23,25.75,25.75,normal,25.86,ON,ON
24,25.33,25.33,normal,25.54,ON,ON
25,24.96,24.96,normal,25.35,ON,ON
26,24.68,24.68,normal,24.99,ON,ON
27,24.34,24.34,normal,24.66,ON,ON
28,24.36,24.36,normal,24.46,ON,ON
29,24.0,24.0,normal,24.23,ON,ON
30,23.81,23.81,normal,24.06,OFF,ON
31,23.38,23.29,noise,23.7,OFF,OFF
32,23.32,23.32,normal,23.47,OFF,OFF
33,23.1,,missing,23.3,OFF,OFF
34,23.23,,missing,23.32,OFF,OFF
35,23.04,23.04,normal,23.04,OFF,OFF
36,22.84,22.84,normal,22.94,OFF,OFF
37,22.88,22.88,normal,22.92,OFF,OFF
38,22.61,22.61,normal,22.78,OFF,OFF
39,22.9,22.9,normal,22.8,OFF,OFF
40,22.99,22.99,normal,22.83,OFF,OFF
41,22.96,27.73,spike,24.54,ON,OFF
42,23.13,23.13,normal,24.62,OFF,OFF
43,23.11,23.11,normal,24.66,OFF,OFF
44,23.5,23.62,noise,23.29,OFF,OFF
45,23.77,,missing,23.37,OFF,OFF
46,23.98,23.98,normal,23.8,OFF,OFF
47,23.99,23.99,normal,23.98,OFF,OFF
48,24.35,24.35,normal,24.11,OFF,OFF
49,24.7,24.7,normal,24.35,OFF,OFF
50,24.82,24.82,normal,24.62,OFF,OFF
51,25.14,28.88,spike,26.13,ON,ON
52,25.28,25.28,noise,26.33,ON,ON
53,25.85,29.49,spike,27.88,ON,ON
54,25.99,26.17,noise,26.98,ON,ON
55,26.38,21.88,spike,25.85,OFF,ON
56,26.47,,missing,24.02,OFF,ON
57,26.83,26.83,normal,24.35,ON,ON
58,26.7,26.7,normal,26.77,ON,ON
59,27.06,27.06,normal,26.86,ON,ON
60,26.97,26.97,normal,26.91,ON,ON
61,27.18,27.18,normal,27.07,ON,ON
62,27.02,,missing,27.07,ON,ON
63,27.19,,missing,27.18,ON,ON
64,27.17,28.03,noise,28.03,ON,ON
65,26.96,25.69,noise,26.86,ON,ON
66,27.02,26.91,noise,26.88,ON,ON
67,26.76,26.76,normal,26.45,ON,ON
68,26.63,26.63,normal,26.77,ON,ON
69,26.64,26.64,normal,26.68,ON,ON
70,26.26,26.26,normal,26.51,ON,ON
71,26.21,27.7,noise,26.87,ON,ON
72,25.79,25.79,normal,26.58,ON,ON
73,25.77,24.34,noise,25.94,ON,ON
74,25.43,,missing,25.06,ON,ON
75,25.0,20.34,spike,22.34,OFF,OFF
76,24.81,24.81,normal,22.57,OFF,OFF
77,24.6,,missing,22.57,OFF,OFF
78,24.44,24.44,normal,24.62,OFF,OFF
79,24.03,,missing,24.44,OFF,OFF
80,23.98,23.98,normal,24.21,OFF,OFF
