Step,True_Temperature,Raw_Temperature,Error_Type,Filtered_Temperature,Fan_Before,Fan_After
1,25.33,25.33,normal,25.33,OFF,OFF
2,25.38,25.38,normal,25.35,OFF,OFF
3,25.76,24.4,noise,25.04,OFF,OFF
4,26.03,26.03,normal,25.27,ON,OFF
5,26.28,26.28,normal,25.57,ON,OFF
6,26.57,26.57,normal,26.29,ON,ON
7,26.62,26.62,normal,26.49,ON,ON
8,26.67,,missing,26.59,ON,ON
9,26.81,26.81,normal,26.71,ON,ON
10,27.13,26.22,noise,26.52,ON,ON
11,27.13,27.13,normal,26.72,ON,ON
12,27.14,27.14,normal,26.83,ON,ON
13,27.09,27.09,normal,27.12,ON,ON
14,27.17,27.17,normal,27.13,ON,ON
15,27.06,23.36,spike,25.87,OFF,ON
16,27.14,26.47,noise,25.67,ON,ON
17,26.75,26.9,noise,25.58,ON,ON
18,26.88,26.88,normal,26.75,ON,ON
19,26.61,23.08,spike,25.62,OFF,ON
20,26.18,26.18,normal,25.38,ON,ON
21,26.17,27.36,noise,25.54,ON,ON
22,25.71,25.71,normal,26.42,ON,ON
23,25.74,25.74,normal,26.27,ON,ON
24,25.5,25.5,normal,25.65,ON,ON
25,25.05,25.05,normal,25.43,ON,ON
26,24.82,24.82,normal,25.12,ON,ON
27,24.33,24.33,normal,24.73,ON,ON
28,24.27,28.79,spike,25.98,ON,ON
29,23.99,23.99,normal,25.7,OFF,ON
30,23.61,23.61,normal,25.46,OFF,ON
31,23.38,27.36,spike,24.99,ON,ON
32,23.28,24.72,noise,25.23,ON,ON
33,23.24,23.33,noise,25.14,OFF,ON
34,22.99,22.99,normal,23.68,OFF,OFF
35,23.03,23.92,noise,23.41,OFF,OFF
36,22.86,22.86,normal,23.26,OFF,OFF
37,22.65,21.25,noise,22.68,OFF,OFF
38,22.66,24.02,noise,22.71,OFF,OFF
39,22.72,22.72,normal,22.66,OFF,OFF
40,22.79,22.79,normal,23.18,OFF,OFF
41,22.8,23.27,noise,22.93,OFF,OFF
42,23.09,22.4,noise,22.82,OFF,OFF
43,23.37,23.37,normal,23.01,OFF,OFF
44,23.63,23.63,normal,23.13,OFF,OFF
45,23.47,24.6,noise,23.87,OFF,OFF
46,24.07,24.07,normal,24.1,OFF,OFF
47,24.11,22.67,noise,23.78,OFF,OFF
48,24.57,23.82,noise,23.52,OFF,OFF
49,24.61,,missing,23.25,OFF,OFF
50,25.01,23.7,noise,23.76,OFF,OFF
51,25.23,25.23,normal,24.46,OFF,OFF
52,25.58,25.58,normal,24.84,OFF,OFF
53,25.55,29.97,spike,26.93,ON,ON
54,25.94,26.35,noise,27.3,ON,ON
55,26.08,26.08,normal,27.47,ON,ON
56,26.59,26.59,normal,26.34,ON,ON
57,26.82,,missing,26.34,ON,ON
58,26.75,25.41,noise,26.0,ON,ON
59,26.99,26.99,normal,26.2,ON,ON
60,27.0,23.05,spike,25.15,OFF,ON
61,27.09,27.09,normal,25.71,ON,ON
62,27.22,27.89,noise,26.01,ON,ON
63,27.33,27.38,noise,27.45,ON,ON
64,27.37,26.78,noise,27.35,ON,ON
65,27.17,27.17,normal,27.11,ON,ON
66,27.08,27.08,normal,27.01,ON,ON
67,26.79,26.79,normal,27.01,ON,ON
68,26.71,27.62,noise,27.16,ON,ON
69,26.64,26.64,normal,27.02,ON,ON
70,26.2,30.19,spike,28.15,ON,ON
71,26.09,26.09,normal,27.64,ON,ON
72,26.1,25.09,noise,27.12,ON,ON
73,25.69,24.35,noise,25.18,ON,ON
74,25.42,25.42,normal,24.95,ON,ON
75,25.27,25.27,normal,25.01,ON,ON
76,24.78,24.78,normal,25.16,ON,ON
77,24.39,28.76,spike,26.27,ON,ON
78,24.32,24.32,normal,25.95,ON,ON
79,24.13,24.13,normal,25.74,ON,ON
80,23.76,24.7,noise,24.38,ON,ON
